/station/id,/station/latitude,/station/long,/station/name,/station/nbStandardBikes,/station/nbDocks,/station/nbEmptyDocks,/station/terminalName,/station/area,/station/bikeavailability%,/station/HighDemand
1,51.52916347,-0.109970527,"River Street , Clerkenwell",13,19,6,1023,Clerkenwell,68.42,0
2,51.49960695,-0.197574246,"Phillimore Gardens, Kensington",21,37,16,1018,Kensington,56.76,0
3,51.52128377,-0.084605692,"Christopher Street, Liverpool Street",25,32,7,1012,Liverpool Street,78.13,0
4,51.53005939,-0.120973687,"St. Chad's Street, King's Cross",17,23,6,1013,King's Cross,73.91,0
5,51.49313,-0.156876,"Sedding Street, Sloane Square",20,27,7,3420,Sloane Square,74.07,0
6,51.51811784,-0.144228881,"Broadcasting House, Marylebone",3,18,15,3424,Marylebone,16.67,1
7,51.53430039,-0.1680743,"Charlbert Street, St. John's Wood",2,16,14,3422,St. John's Wood,12.5,1
8,51.529857,-0.18348604,"Maida Vale, Maida Vale",9,39,30,3423,Maida Vale,23.08,1
9,51.5073853,-0.096440751,"New Globe Walk, Bankside",3,19,16,1015,Bankside,15.79,1
10,51.50597426,-0.092754157,"Park Street, Bankside",18,18,0,1024,Bankside,100,0
11,51.52395143,-0.122502346,"Brunswick Square, Bloomsbury",21,24,3,1022,Bloomsbury,87.5,0
12,51.52168078,-0.130431727,"Malet Street, Bloomsbury",27,49,22,980,Bloomsbury,55.1,0
13,51.51991453,-0.136039674,"Scala Street, Fitzrovia",10,21,11,970,Fitzrovia,47.62,0
14,51.529416,-0.1239444,"Argyle Street, Kings Cross",22,45,23,1011,Kings Cross,48.89,0
15,51.51772703,-0.127854211,"Great Russell Street, Bloomsbury",3,26,23,988,Bloomsbury,11.54,1
16,51.52635795,-0.125979294,"Cartwright Gardens , Bloomsbury",5,21,16,1010,Bloomsbury,23.81,1
17,51.5216612,-0.109006325,"Hatton Wall, Holborn",7,26,19,1008,Holborn,26.92,0
18,51.51477076,-0.12221963,"Drury Lane, Covent Garden",5,27,22,1007,Covent Garden,18.52,1
19,51.52505093,-0.131161087,"Taviton Street, Bloomsbury",13,30,17,1009,Bloomsbury,43.33,0
20,51.527326,-0.13605286,"Drummond Street , Euston",1,28,27,993,Euston,3.57,1
21,51.539834,-0.062806212,"Lansdowne Drive, Hackney Central",0,26,26,3426,Hackney Central,0,1
22,51.5222641,-0.114079481,"Northington Street , Holborn",2,19,17,3425,Holborn,10.53,1
23,51.51943538,-0.119123345,"Red Lion Square, Holborn",1,16,15,3421,Holborn,6.25,1
24,51.51908011,-0.124678402,"British Museum, Bloomsbury",7,35,28,981,Bloomsbury,20,1
25,51.5288338,-0.132250369,"Doric Way , Somers Town",5,50,45,1004,Somers Town,10,1
26,51.52728093,-0.11829517,"Ampton Street , Clerkenwell",7,21,14,1019,Clerkenwell,33.33,0
28,51.52351808,-0.143613641,"Bolsover Street, Fitzrovia",9,19,10,1025,Fitzrovia,47.37,0
29,51.513735,-0.193487,"Hereford Road, Bayswater",9,22,13,1016,Bayswater,40.91,0
30,51.52915444,-0.093421615,"Windsor Terrace, Hoxton",10,24,14,1029,Hoxton,41.67,0
31,51.52953709,-0.083353323,"Fanshaw Street, Hoxton",19,36,17,3427,Hoxton,52.78,0
33,51.515231,-0.07015,"Central House, Aldgate",0,18,18,3430,Aldgate,0,1
34,51.5341235,-0.129386874,"Pancras Road, King's Cross",16,16,0,3428,King's Cross,100,0
36,51.50173726,-0.184980612,"De Vere Gardens, Kensington",3,28,25,3446,Kensington,10.71,1
37,51.49159394,-0.192369256,"Penywern Road, Earl's Court",1,17,16,3444,Earl's Court,5.88,1
