Docking Station,Q1 ,Q2,Q3,Q4
"Waterloo Station, Waterloo" ,18289,31162,28424,9499
"Hyde Park Corner, Hyde Park",12441,20607,9544,3089
"Black Lion Gate, Kensington Gardens" ,7645,12590,8993,2896
"Queen Street, Bank" ,7066,12335,8890,2608
"Belgrove Street, King's Cross" ,6670,11923,8167,2152
"Albert Gate, Hyde Park",6145,11545,7547,2101
"Duke Street Hill, London Bridge" ,5823,9622,7391,2090
"Wormwood Street, Liverpool Street",5805,9336,7038,2084
"Battersea Power Station, Battersea Park" ,5000,9334,6979,2079
"Serpentine Car Park, Hyde Park",4988,9044,6918,1951
