Docking Station,Q1,Q2,Q3,Q4
"York Hall, Bethnal Green",975.321,1299.402,913.923,384.588
"Stebondale Street, Cubitt Town",1481.409,2524.122,2302.344,765.369
"Clinton Road, Mile End",1144.572,1895.844,878.048,284.188
"Snowsfields, London Bridge",710.985,1170.87,836.349,269.328
"Queensdale Road, Shepherd's Bush",558.214,974.07,465.231,205.4
"St. John's Road, Clapham Junction",863.378,1394,1036.48,817.048
"Grenfell Road, Avondale",3165.228,1394.118,691.416,790.515
"Houghton Street, Strand",2060.795,555.894,753.385,323.426
"Chelsea Green, Chelsea",460.229,203.511,966.042,582.659
"Sloane Avenue, Knightsbridge",610.631,826.182,929.932,1245.415
